# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAC1	YMR056C	YMR056C	protein_coding	0	7	7	72	0	0	0	0	29	0	0	0	7	0	0	0	0	0	0	0	0	7	43
AAC3	YBR085W	YBR085W	protein_coding	1	7	2	99	0	0	0	0	50	1	0	0	2	0	0	0	0	0	0	0	0	7	49
AAD10	YJR155W	YJR155W	protein_coding	0	5	12	42	0	0	0	0	11	0	0	0	12	0	0	0	0	0	0	0	0	5	31
AAD14	YNL331C	YNL331C	protein_coding	0	8	8	88	0	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	0	8	78
AAD15	YOL165C	YOL165C	protein_coding	0	1	0	57	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	32
AAD16	YFL057C	YFL057C	protein_coding	0	0	0	68	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	50
AAD3	YCR107W	YCR107W	protein_coding	1	15	29	201	0	0	0	0	56	0	0	0	29	0	0	0	0	0	1	0	0	15	145
AAD4	YDL243C	YDL243C	protein_coding	1	11	8	23	0	0	0	0	4	0	0	0	8	0	0	0	0	0	1	0	0	11	19
AAD6	YFL056C	YFL056C	protein_coding	0	4	0	81	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	4	63
AAH1	YNL141W	YNL141W	protein_coding	0	2	1	60	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	2	40
