38
Bin1	Bin2	Start_Chr17	End_Chr17	Enrichment
71 	72 	15710000 	15720000 	26.305723190307617
41 	46 	15410000 	15460000 	20.9597110748291
71 	75 	15710000 	15750000 	17.534896850585938
62 	71 	15620000 	15710000 	17.25791358947754
192 	194 	16920000 	16940000 	17.131650924682617
192 	193 	16920000 	16930000 	16.767040252685547
56 	57 	15560000 	15570000 	16.076539993286133
190 	222 	16900000 	17220000 	15.742154121398926
239 	240 	17390000 	17400000 	12.491195678710938
237 	238 	17370000 	17380000 	11.81570053100586
41 	43 	15410000 	15430000 	11.777260780334473
80 	122 	15800000 	16220000 	11.293856620788574
238 	239 	17380000 	17390000 	11.221064567565918
238 	240 	17380000 	17400000 	10.535232543945312
82 	83 	15820000 	15830000 	10.373844146728516
58 	71 	15580000 	15710000 	9.82082462310791
190 	192 	16900000 	16920000 	9.042298316955566
58 	194 	15580000 	16940000 	8.927203178405762
6 	7 	15060000 	15070000 	8.566093444824219
37 	38 	15370000 	15380000 	8.484487533569336
77 	78 	15770000 	15780000 	8.482356071472168
72 	75 	15720000 	15750000 	7.975915908813477
62 	72 	15620000 	15720000 	7.84992790222168
41 	47 	15410000 	15470000 	7.719090938568115
57 	58 	15570000 	15580000 	7.280523300170898
80 	83 	15800000 	15830000 	7.258954048156738
83 	194 	15830000 	16940000 	7.009126663208008
36 	37 	15360000 	15370000 	6.945043563842773
57 	71 	15570000 	15710000 	6.569293022155762
45 	46 	15450000 	15460000 	6.529218673706055
78 	80 	15780000 	15800000 	6.518778324127197
46 	47 	15460000 	15470000 	6.363384246826172
53 	58 	15530000 	15580000 	6.331888675689697
237 	239 	17370000 	17390000 	6.234499931335449
58 	80 	15580000 	15800000 	6.163597106933594
58 	75 	15580000 	15750000 	6.113837718963623
163 	222 	16630000 	17220000 	6.067544460296631
41 	192 	15410000 	16920000 	6.062673568725586
53 	71 	15530000 	15710000 	6.053426742553711
78 	222 	15780000 	17220000 	6.049643516540527
75 	77 	15750000 	15770000 	5.858138561248779
75 	78 	15750000 	15780000 	5.747690200805664
51 	58 	15510000 	15580000 	5.679973602294922
53 	57 	15530000 	15570000 	5.647324085235596
18 	19 	15180000 	15190000 	5.612308979034424
