Bin1	Bin2	Start_Chr17	End_Chr17	Enrichment
6 	7 	15060000 	15070000 	8.566093
6 	18 	15060000 	15180000 	2.0937655
6 	19 	15060000 	15190000 	2.0693345
6 	36 	15060000 	15360000 	4.234257
6 	37 	15060000 	15370000 	3.4160872
6 	38 	15060000 	15380000 	4.770666
6 	41 	15060000 	15410000 	3.5051396
6 	43 	15060000 	15430000 	2.9505725
6 	45 	15060000 	15450000 	4.287682
6 	46 	15060000 	15460000 	4.7259583
6 	47 	15060000 	15470000 	4.254523
6 	56 	15060000 	15560000 	3.0469
7 	18 	15070000 	15180000 	2.4798589
7 	19 	15070000 	15190000 	1.0503954
7 	36 	15070000 	15360000 	2.5473323
7 	37 	15070000 	15370000 	3.633159
7 	38 	15070000 	15380000 	2.9804223
7 	41 	15070000 	15410000 	2.3722813
7 	43 	15070000 	15430000 	1.19817
7 	45 	15070000 	15450000 	3.8692088
7 	46 	15070000 	15460000 	1.0661774
7 	51 	15070000 	15510000 	1.5994233
7 	53 	15070000 	15530000 	1.188664
18 	19 	15180000 	15190000 	5.612309
18 	37 	15180000 	15370000 	2.9089184
18 	38 	15180000 	15380000 	3.2811615
18 	43 	15180000 	15430000 	4.103777
18 	47 	15180000 	15470000 	2.305467
18 	51 	15180000 	15510000 	2.347751
18 	53 	15180000 	15530000 	1.1632055
18 	72 	15180000 	15720000 	1.4771376
19 	36 	15190000 	15360000 	1.3858238
19 	37 	15190000 	15370000 	2.8749754
19 	38 	15190000 	15380000 	2.882556
19 	41 	15190000 	15410000 	3.4415762
19 	43 	15190000 	15430000 	2.8970656
19 	45 	15190000 	15450000 	2.3388486
19 	47 	15190000 	15470000 	1.1392827
19 	53 	15190000 	15530000 	1.7244489
19 	56 	15190000 	15560000 	1.495823
36 	37 	15360000 	15370000 	6.9450436
36 	38 	15360000 	15380000 	4.259858
36 	45 	15360000 	15450000 	1.701595
36 	46 	15360000 	15460000 	2.813291
36 	47 	15360000 	15470000 	2.0721705
36 	51 	15360000 	15510000 	1.4067842
36 	53 	15360000 	15530000 	1.5682467
36 	163 	15360000 	16630000 	1.1994817
37 	38 	15370000 	15380000 	8.484488
37 	41 	15370000 	15410000 	3.246516
37 	43 	15370000 	15430000 	1.0931469
37 	45 	15370000 	15450000 	1.7650307
37 	46 	15370000 	15460000 	1.4590858
37 	47 	15370000 	15470000 	2.507659
38 	41 	15380000 	15410000 	2.441307
38 	43 	15380000 	15430000 	2.8770764
38 	45 	15380000 	15450000 	3.3181589
38 	46 	15380000 	15460000 	1.0971997
38 	47 	15380000 	15470000 	1.6163169
38 	56 	15380000 	15560000 	2.122146
38 	62 	15380000 	15620000 	1.1624682
38 	122 	15380000 	16220000 	1.2121286
41 	43 	15410000 	15430000 	11.777261
41 	46 	15410000 	15460000 	20.959711
41 	47 	15410000 	15470000 	7.719091
41 	53 	15410000 	15530000 	3.8946075
41 	192 	15410000 	16920000 	6.0626736
43 	45 	15430000 	15450000 	3.7350445
43 	46 	15430000 	15460000 	5.293069
43 	47 	15430000 	15470000 	3.0323122
43 	51 	15430000 	15510000 	1.7645297
43 	56 	15430000 	15560000 	1.7062625
43 	58 	15430000 	15580000 	1.0637542
45 	46 	15450000 	15460000 	6.5292187
45 	47 	15450000 	15470000 	3.192835
45 	53 	15450000 	15530000 	2.646723
45 	56 	15450000 	15560000 	4.1324816
45 	72 	15450000 	15720000 	2.6888278
46 	47 	15460000 	15470000 	6.3633842
46 	51 	15460000 	15510000 	2.355219
46 	53 	15460000 	15530000 	3.5007167
46 	56 	15460000 	15560000 	4.5548925
46 	163 	15460000 	16630000 	2.0081563
47 	51 	15470000 	15510000 	1.7347708
47 	56 	15470000 	15560000 	1.1183242
47 	58 	15470000 	15580000 	2.7888374
47 	72 	15470000 	15720000 	1.0914681
47 	75 	15470000 	15750000 	1.2448541
47 	78 	15470000 	15780000 	1.4747729
47 	80 	15470000 	15800000 	2.5099716
47 	222 	15470000 	17220000 	3.4940052
51 	53 	15510000 	15530000 	2.6257958
51 	56 	15510000 	15560000 	4.555341
51 	57 	15510000 	15570000 	1.8997089
51 	58 	15510000 	15580000 	5.6799736
51 	62 	15510000 	15620000 	1.6635484
51 	75 	15510000 	15750000 	3.3804953
51 	80 	15510000 	15800000 	2.5560064
51 	83 	15510000 	15830000 	1.1148973
53 	56 	15530000 	15560000 	1.6927255
53 	57 	15530000 	15570000 	5.647324
53 	58 	15530000 	15580000 	6.3318887
53 	62 	15530000 	15620000 	1.8544811
53 	71 	15530000 	15710000 	6.0534267
53 	75 	15530000 	15750000 	1.8842448
53 	77 	15530000 	15770000 	2.0223567
53 	78 	15530000 	15780000 	1.4881706
53 	163 	15530000 	16630000 	1.4925742
56 	57 	15560000 	15570000 	16.07654
56 	58 	15560000 	15580000 	2.7462065
56 	62 	15560000 	15620000 	3.2172315
56 	72 	15560000 	15720000 	4.299135
56 	75 	15560000 	15750000 	1.6344335
56 	77 	15560000 	15770000 	1.7542344
56 	78 	15560000 	15780000 	3.872611
56 	82 	15560000 	15820000 	1.4626691
56 	163 	15560000 	16630000 	1.9420353
57 	58 	15570000 	15580000 	7.2805233
57 	62 	15570000 	15620000 	4.025036
57 	71 	15570000 	15710000 	6.569293
57 	72 	15570000 	15720000 	1.7928636
57 	75 	15570000 	15750000 	1.363212
57 	77 	15570000 	15770000 	2.9262664
57 	78 	15570000 	15780000 	4.8449726
57 	83 	15570000 	15830000 	1.7983651
57 	163 	15570000 	16630000 	2.4296546
58 	62 	15580000 	15620000 	4.011509
58 	71 	15580000 	15710000 	9.820825
58 	72 	15580000 	15720000 	2.6802576
58 	75 	15580000 	15750000 	6.1138377
58 	77 	15580000 	15770000 	2.187324
58 	78 	15580000 	15780000 	1.2071725
58 	80 	15580000 	15800000 	6.163597
58 	83 	15580000 	15830000 	2.688482
58 	163 	15580000 	16630000 	1.2107447
58 	190 	15580000 	16900000 	3.1412592
58 	194 	15580000 	16940000 	8.927203
58 	239 	15580000 	17390000 	1.3500769
62 	71 	15620000 	15710000 	17.257914
62 	72 	15620000 	15720000 	7.849928
62 	75 	15620000 	15750000 	2.3874912
62 	77 	15620000 	15770000 	1.2812451
62 	78 	15620000 	15780000 	1.4142249
62 	80 	15620000 	15800000 	3.610384
62 	82 	15620000 	15820000 	3.739028
62 	192 	15620000 	16920000 	3.849121
71 	72 	15710000 	15720000 	26.305723
71 	75 	15710000 	15750000 	17.534897
71 	82 	15710000 	15820000 	5.2307124
72 	75 	15720000 	15750000 	7.975916
72 	77 	15720000 	15770000 	1.7121074
72 	78 	15720000 	15780000 	1.889806
72 	80 	15720000 	15800000 	4.824498
72 	82 	15720000 	15820000 	2.8550875
75 	77 	15750000 	15770000 	5.8581386
75 	78 	15750000 	15780000 	5.74769
75 	82 	15750000 	15820000 	2.7135985
75 	194 	15750000 	16940000 	5.313118
75 	222 	15750000 	17220000 	5.1064973
75 	237 	15750000 	17370000 	1.1763752
77 	78 	15770000 	15780000 	8.482356
77 	80 	15770000 	15800000 	3.9372115
77 	82 	15770000 	15820000 	2.9125006
77 	122 	15770000 	16220000 	4.007939
77 	192 	15770000 	16920000 	1.04939
78 	80 	15780000 	15800000 	6.5187783
78 	82 	15780000 	15820000 	3.2147875
78 	83 	15780000 	15830000 	2.8434076
78 	192 	15780000 	16920000 	1.1583056
78 	193 	15780000 	16930000 	5.6101913
78 	222 	15780000 	17220000 	6.0496435
80 	82 	15800000 	15820000 	3.2828207
80 	83 	15800000 	15830000 	7.258954
80 	122 	15800000 	16220000 	11.293857
80 	237 	15800000 	17370000 	1.7789241
80 	238 	15800000 	17380000 	1.8189985
82 	83 	15820000 	15830000 	10.373844
82 	163 	15820000 	16630000 	2.5794404
82 	190 	15820000 	16900000 	1.6730798
82 	193 	15820000 	16930000 	2.1189458
83 	146 	15830000 	16460000 	1.1987767
83 	163 	15830000 	16630000 	1.9012142
83 	193 	15830000 	16930000 	3.1236005
83 	194 	15830000 	16940000 	7.0091267
83 	237 	15830000 	17370000 	1.5518878
146 	163 	16460000 	16630000 	2.159453
163 	190 	16630000 	16900000 	2.2214048
163 	192 	16630000 	16920000 	1.1617333
163 	193 	16630000 	16930000 	2.8133962
163 	222 	16630000 	17220000 	6.0675445
163 	240 	16630000 	17400000 	1.1474859
190 	192 	16900000 	16920000 	9.042298
190 	222 	16900000 	17220000 	15.742154
190 	239 	16900000 	17390000 	2.4770434
192 	193 	16920000 	16930000 	16.76704
192 	194 	16920000 	16940000 	17.13165
192 	238 	16920000 	17380000 	3.87856
193 	238 	16930000 	17380000 	2.3481996
237 	238 	17370000 	17380000 	11.815701
237 	239 	17370000 	17390000 	6.2345
237 	240 	17370000 	17400000 	3.7465932
238 	239 	17380000 	17390000 	11.221065
238 	240 	17380000 	17400000 	10.535233
239 	240 	17390000 	17400000 	12.491196
